,,,,,,,,,"6,36,246",78,"1,95,087",,Total Sold,203,DIvidend%,0%,,,,,Profit ,Net Profit,,,,,,,
Copy paste this data from KHM sheet,,,,,,,Manual Entry,,,This data will populate automatically,,,0,"40,578","1,54,509",0,"1,54,509",,,,30.66%,24.28%,,,,,,,
Buy Date,ETF Code,Underlying Asset,Buy Price,Actual Buy Qty,Suggested Qty,Invested amount,Sell Price,Sell Date,Invested amt on this date,Holding Days,Profit Amount,Profit%,Brokerage plus charges Both Side,Income Tax (STCG),Profit after deducting Brokerage and Income Tax ,Dividend paid to Self,Growth Amount after Tax and Dividend,,Sell Date - Year-Month,SUM of Profit Amount,MAX of Invested amt on this date,SUM of Brokerage plus charges Both Side,SUM of Income Tax (STCG),SUM of Dividend paid to Self,SUM of Growth Amount after Tax and Dividend,Monthly P% on Max Invested,Overall P% on Max Invested till date,Overall P% on Max Invested from pocket,Approx Annualised %
05-Sep-23,HEALTHY,Nifty Healthcare TRI,9.66,1244,,"12,017",10.24,20-Nov-23,"4,58,207",76,722,6.00%,,150,571,0,571,,2024-Dec,"3,148","3,97,320",0,655,0,"2,493",0.79%,27.92%,38.73%,29.08%
10-Aug-23,NSE:MAFANG,NYSE FANG+ Total Return Index,63.70,188,,"11,976",68.18,21-Nov-23,"4,46,231",103,842,7.03%,,175,667,0,667,,2025-Jan,"1,007","4,19,670",0,209,0,797,0.24%,28.08%,39.03%,27.55%
29-Aug-23,KOTAKNV20,Nifty50 Value 20,112.58,108,,"12,159",119.41,22-Nov-23,"4,48,632",85,738,6.07%,,153,584,0,584,,2025-Feb,"1,841","4,20,620",0,383,0,"1,458",0.44%,28.36%,39.60%,26.37%
14-Sep-23,SILVERBEES,Silver,69.14,184,,"12,722",73.32,28-Nov-23,"4,35,911",75,769,6.05%,,160,609,0,609,,2025-Apr,"1,131","4,07,232",0,235,0,896,0.28%,28.54%,39.94%,24.02%
06-Nov-23,AUTOBEES,Nifty Auto TRI,164.32,77,,"12,653",175.00,29-Nov-23,"4,23,258",23,822,6.50%,,171,651,0,651,,2025-May,"4,105","4,43,774",0,854,0,"3,251",0.93%,29.19%,41.22%,23.63%
23-Aug-23,GOLDBEES,Gold,49.85,241,,"12,014",52.99,29-Nov-23,"4,11,244",98,757,6.30%,,157,599,0,599,,2025-Jun,"3,318","5,08,321",0,690,0,"2,628",0.65%,29.71%,42.27%,23.11%
27-Jul-23,ICICICONSU,Nifty India Consumption Index,84.95,142,,"12,063",90.45,29-Nov-23,"3,99,181",125,781,6.47%,,162,619,0,619,,2025-Jul,"6,064","5,55,909",0,"1,261",0,"4,803",1.09%,30.66%,44.22%,23.14%
01-Aug-23,CONSUMBEES,Nifty India Consumption Index,92.00,131,,"12,052",97.55,29-Nov-23,"3,87,129",120,727,6.03%,,151,576,0,576,,Grand Total,"1,95,087","6,36,246",0,"40,578",0,"1,54,509",,,,
24-Aug-23,SETFGOLD,Gold,51.47,234,,"12,044",54.65,29-Nov-23,"3,75,085",97,744,6.18%,,155,589,0,589,,,,,,,,,,,,
30-Aug-23,ICICIPHARM,Nifty Healthcare Index,96.97,124,,"12,024",113.00,30-Nov-23,"3,63,061",92,"1,988",16.53%,,413,"1,574",0,"1,574",,,,,,,,,,,,
